 ACQUISITION_TIME_SCET  TEC_CURRENT
      672703304.765854     0.054203
      672703304.765854     0.055630
      672703306.765869     0.055630
      672703306.765869     0.054203
      672703308.765884     0.054203
      672703308.765884     0.056343
      672703310.765854     0.056343
      672703310.765854     0.054203
      672703312.765839     0.054203
      672703312.765839     0.056343
      672703314.765839     0.056343
      672703314.765839     0.053490
      672703316.765839     0.053490
      672703316.765839     0.056343
      672703318.765839     0.056343
      672703318.765839     0.053490
      672703320.765869     0.053490
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703320.765869     0.057057
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703333.065704     0.054203
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703345.365646     0.059196
      672703357.665680     0.059196
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703357.665680     0.059910
      672703369.965622     0.063476
      672703369.965622     0.063476
      672703369.965622     0.063476
      672703369.965622     0.063476
      672703369.965622     0.063476
