       ACQUISITION_TIME_UTC, ACQUISITION_TIME_SCET, LAST_EVENT, COMMANDED_TEST_MODE, COMMANDED_TEC_STATUS, COMMANDED_DETECTOR_STATUS, COMMANDED_TEC_TREF, COMMANDED_TEC_N_P, COMMANDED_TEC_N_I, COMMANDED_TEC_N_E, ANTI_WIND-UP_STATUS, ANTI_WIND-UP_METHOD, COMMANDED_TEC_N_SS, PE_ADDRESS, PE_ADDRESS_CONTENT, TEMPERATURE_FPA_1, TEMPERATURE_FPA_2, TEMPERATURE_PE, TEMPERATURE_FPA_PACKAGE, TEMPERATURE_STC_OPTICAL_BENCH, VOLTAGE_AT_3.3V, TEC_CURRENT
2020-12-14T21:46:38.052918Z,      672702396.779266,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.362395,        269.650303,     271.953249,              269.396940,                    268.557394,        3.259602,    0.061336
2020-12-14T21:46:39.052873Z,      672702397.779221,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  1,        269.362395,        269.650303,     271.953249,              269.396940,                    268.557394,        3.259602,    0.061336
2020-12-14T21:46:40.052781Z,      672702398.779129,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.273754,        269.650303,     271.953249,              269.396940,                    268.557394,        3.259602,    0.059196
2020-12-14T21:46:41.052918Z,      672702399.779266,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.273754,        269.560768,     271.953249,              269.396940,                    268.557394,        3.259602,    0.057057
2020-12-14T21:46:42.052735Z,      672702400.779083,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.273754,        269.560768,     271.953249,              269.396940,                    268.557394,        3.259602,    0.060623
2020-12-14T21:46:43.052796Z,      672702401.779144,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.185112,        269.560768,     271.953249,              269.505014,                    268.557394,        3.259602,    0.060623
2020-12-14T21:46:44.052873Z,      672702402.779221,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.185112,        269.560768,     271.953249,              269.396940,                    268.557394,        3.259602,    0.058483
2020-12-14T21:46:45.052842Z,      672702403.779190,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.185112,        269.471234,     272.061363,              269.396940,                    268.557394,        3.259602,    0.057057
2020-12-14T21:46:46.052873Z,      672702404.779221,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.185112,        269.471234,     272.061363,              269.505014,                    268.557394,        3.259602,    0.060623
2020-12-14T21:46:47.052812Z,      672702405.779160,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.096471,        269.471234,     272.061363,              269.396940,                    268.557394,        3.259602,    0.060623
2020-12-14T21:46:48.052873Z,      672702406.779221,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.096471,        269.471234,     272.061363,              269.396940,                    268.557394,        3.259602,    0.058483
2020-12-14T21:46:49.052796Z,      672702407.779144,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.096471,        269.381699,     272.061363,              269.396940,                    268.557394,        3.259602,    0.056343
2020-12-14T21:46:50.052873Z,      672702408.779221,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.096471,        269.381699,     272.061363,              269.396940,                    268.557394,        3.259602,    0.059910
2020-12-14T21:46:51.052842Z,      672702409.779190,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.007829,        269.381699,     272.061363,              269.396940,                    268.557394,        3.259602,    0.059910
2020-12-14T21:46:52.052842Z,      672702410.779190,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        269.007829,        269.381699,     272.061363,              269.396940,                    268.557394,        3.259602,    0.057770
